Gene,Evaluations,Accuracy
"('Solve the math word problem, giving your answer as an arabic numeral.', 'You are genius at mathematical thinking and reasoning.', 'Think about this step by step.', 0)",10,0.0
"('Swap them out for synonyms or near-synonyms. (Want a list of synonyms? See the thesaurus.)', 'To find the smallest prime number that has the same remainder as target number, when divided by any other prime number, we have to divide the target number by the prime numbers from 1 to 31 and then circle the number that is not divisible by any of the primes. This number would be the target number with no prime factors.', 'Think about this step by step.', 2)",10,0.1
"('""Write the response to the math problem posed to you using Arabic numerals instead of words or letters.""', 'You are genius at mathematical thinking and reasoning.', '""Let me ensure I understand, ""<recap of user prompt>"".', 0)",10,0.2
"('Who is X and what are her greatest contributions to Y?', 'Implement the solution and evaluate its effectiveness.', 'Problem-solving through experimentation involves several steps. First, identify the problem and turn it into a research question. Next, design an experiment to test the question, taking into account any potential confounding variables. After collecting and analyzing the data, interpret the results in the context of the original problem and consider how they might inform a solution.', 0)",10,0.0
"('Solve this math problem.', 'Focus on understanding the implications and applications of mathematical principles.', 'Think about this step by step.', 0)",10,0.1
"('Then, I would guide them to replace the original words in the prompt with the chosen synonyms, making sure that the substitution still conveys the same meaning as the original prompt.', 'You need to select prime numbers between 1 and 31.', '<analytical>', 3)",10,0.2
"('As we engage with this subject, let us not shy away from its complexities but rather embrace them as an invitation to explore the unknown and push the boundaries of human knowledge.', ""Learn from past failures and successes, but don't be afraid to forge your own path."", 'Think about this step by step.', 0)",10,0.0
"('These prompts now incorporate various elements of critical thinking, creativity, and communication, encouraging deeper engagement and encouraging learners to go beyond surface-level responses.', '- What is the significance of X in mathematical education?', 'Brainstorming: Generate a list of ideas and possibilities related to the problem.', 3)",10,0.1
"('Respond to the math problem using Arabic numerals instead of words or letters.', 'You are genius at mathematical thinking and reasoning.', 'Subtasks can be combined with various methods', 0)",10,0.2
"('""What if X\'s impact on Y were to suddenly reverse course? How would Y adapt, and what new opportunities might emerge?""', 'for index, cluster_index in enumerate(y):', '* Original instruction: Seek input and collaboration from others to solve the problem.', 2)",10,0.0
"('Solve this math problem.', 'Focus on understanding the implications and applications of mathematical principles.', 'Think about this step by step.', 0)",10,0.0
"('Solve the math word problem, giving your answer as an arabic numeral.', 'You are genius at mathematical thinking and reasoning.', 'Think about this step by step.', 0)",10,0.0
"('Solve this math problem.', 'Implement the solution and evaluate its effectiveness.', 'Problem-solving through experimentation involves several steps. First, identify the problem and turn it into a research question. Next, design an experiment to test the question, taking into account any potential confounding variables. After collecting and analyzing the data, interpret the results in the context of the original problem and consider how they might inform a solution.', 0)",10,0.0
"('Who is X and what are her greatest contributions to Y?', 'Focus on understanding the implications and applications of mathematical principles.', 'Think about this step by step.', 0)",10,0.0
