Gene,Evaluations,Accuracy
"('You have a bag of marbles, and you know that there are 20 red marbles and 30 blue marbles. Your task is to find out how many more red marbles there are than blue marbles.', 'The required result is finding the average of the first four natural numbers.', 'Incorporate an analogy or metaphor into the mutated prompt: ""In a world where secrets were currency, the <task> became a double-edged sword.""', 2)",20,0.5
"('""Consider a past scenario in which you were asked to solve a math dilemma involving fractions.""', 'Frame the improved prompt by addressing the identified issue and incorporating any additional context needed.', ""When you adopt this method, you'll first try to identify all the relevant factors that contribute to the given task and classify them hierarchically if needed. It is essential to understand the relationships between these factors and their possible effects on the problem. Once you have a clear understanding of the structure and interconnections of the elements, you can break down the task into smaller parts, solving each step in order before reaching a conclusion."", 3)",20,0.4
"('Picture a world where marbles are currency used for trade between different civilizations. How would you approach the task of determining which color is more abundant? Use economic principles like supply and demand, market analysis, or even historical records to provide your final answer in numerical form, but with additional context on how the value of', 'Approach the problem with an open mind, ready to discover new solutions.', 'Creative thinking: Encourage innovative ideas and possibilities by considering various perspectives, combining seemingly unrelated concepts, or exploring new avenues.', 2)",20,0.35
"('""Recall a time when you had to solve a math word problem involving fractions. What was the problem and how did you approach it?""', 'Improved prompt: ""What is X, and what are its implications for Y?""', ""By embracing this mindset, they can generate unique solutions to complex problems and adapt to the ever-changing demands of today's dynamic environment. Additionally, incorporating multiple perspectives helps teams to understand various viewpoints, enabling better decision-making processes."", 3)",20,0.3
"('In a world where secrets were currency, the Write a short math word problem related to finding an unknown quantity using a single variable and ask for an Arabic numeral as an answer. became a double-edged sword., Create a prompt mutant that introduces a surprising contradiction to the original prompt. Mutate the prompt to provide an alternative perspective or viewpoint.: ""In a world where secrets were currency, the Write a short math word problem related to finding an unknown quantity using a single variable and ask for an Arabic numeral as an answer. became a double-edged sword."", Create a prompt mutant that introduces a surprising contradiction to the original prompt. Mutate the prompt to provide an alternative perspective or viewpoint.: ""In a world where secrets were currency, the Write a short math word problem related to finding an unknown quantity using a single variable and ask for an Arabic numeral as an answer. became a double-edged sword."", Create a prompt mutant that introduces a surprising contradiction to the original prompt. Mutate the prompt to provide an alternative perspective or viewpoint.: ""In a world where secrets were currency, the Write a short math word problem related to finding an unknown quantity using a single variable and ask for', 'Communicate your solution effectively in writing or verbally.', 'Restatement with justifications: In order to measure or evaluate the progress or success in solving a problem, it is important to first identify the specific goals and criteria that define a solution. This can be done by breaking down the problem into smaller, manageable parts and setting achievable milestones for each part. By regularly monitoring and comparing the progress made against these set benchmarks, one can assess whether they are on track or need to adjust their approach.', 1)",20,0.1
"('Chat settings usually involve conversations between people, where bots may be used to automate responses or provide relevant information to users in real time. Recalling past situations does not align with the primary purpose of a bot in this context.', 'Generate a prompt mutant that introduces an element of suspense or intrigue - Create a scenario where the characters are faced with a mystery or danger that requires quick thinking and decision-making.', 'A more casual approach would be to say ""get this job done"".', 1)",10,0.2
"('""Consider a society where marbles function as a means of exchange between various cultures. To identify which color is more prevalent, apply economic theories such as supply and demand, examine market trends, or refer to historical data. Provide your findings in numerical form while also discussing the implications of the varying values attached to different marble colors on the overall economy.""', 'Analyze the situation (mutation question), identify key elements or factors, understand the context and implications', 'Write a list of positive affirmations to remind yourself of your capabilities and strengths when faced with challenges at work or school. Make a commitment to reading this list regularly.', 0)",10,0.1
"('What are the long-term implications of this problem and its solutions? Include Multiple Perspectives: For a prompt like ’What is the impact of X on Y?’, an improved version could be, ’What is the impact of X on Y from the perspective of A, B, and C?’: ""In a world where secrets were currency, the Write a short math word problem related to finding an unknown quantity using a single variable and ask for an Arabic numeral as an answer. became a double-edged sword., Create a prompt mutant that introduces a surprising contradiction to the original prompt. Mutate the prompt to provide an alternative perspective or viewpoint.: ""In a world where secrets were currency, the Write a short math word problem related to finding an unknown quantity using a single variable and ask for an Arabic numeral as an answer. became a double-edged sword."", Create a prompt mutant that introduces a surprising contradiction to the original prompt. Mutate the prompt to provide an alternative perspective or viewpoint.: ""In a world where secrets were currency, the Write a short math word problem related to finding an unknown quantity using a single variable and ask for"".', 'Communicate your solution effectively in writing or verbally.', 'Use positive language: Encourage and motivate by using positive words and phrases that inspire confidence and a sense of accomplishment.', 1)",10,0.3
"('""Imagine a situation where you were asked to explain the concept of zero division to someone who believes that dividing by zero is impossible.""', 'Develop a more specific, detailed version of the prompt that addresses the issues identified in step 2.', 'Remember to add context to your generated prompt and introduce the desired thinking style into it.', 1)",10,0.1
"('""""Consider a past scenario in which you were asked to solve a math dilemma involving fractions.""""', 'Identify the main issue or topic (X) that you want to explore.', 'The task is to identify any potential errors that may be present in the solution of <solution/suggested/discovered issue/etc>/s (indicates you are focusing on finding out where there might be flaws or inconsistencies in the solution, which could potentially lead to problems).', 1)",10,0.1
